<ticker>,<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>
AABB,D,20180321,0.01,0.01,0.0052,0.0052,29500
AABVF,D,20180321,0.1511,0.1511,0.1511,0.1511,0
AACAF,D,20180321,20.1,20.1,20.1,20.1,0
AACAY,D,20180321,19.6,19.71,19.5,19.69,30800
AACS,D,20180321,0.001,0.0014,0.0009,0.0014,401400
AACTF,D,20180321,0.182,0.182,0.18,0.18,3000
AAGC,D,20180321,0.0003,0.0003,0.0003,0.0003,0
AAGH,D,20180321,0.012,0.012,0.012,0.012,11000
AAGIY,D,20180321,34.51,34.97,34.5,34.83,145600
AAIGF,D,20180321,8.76,8.78,8.55,8.55,22000
AAIIQ,D,20180321,0.1,0.1,0.1,0.1,0
AAIR,D,20180321,0.0019,0.005,0.0019,0.0045,1047000
AAMAF,D,20180321,2.88,2.88,2.88,2.88,0
AAMTF,D,20180321,0.51,0.51,0.51,0.51,0
AANR,D,20180321,24.625,24.63,24.01,24.63,52100
AAPH,D,20180321,0.0005,0.0005,0.0005,0.0005,0
AAPJ,D,20180321,0.0084,0.0084,0.0084,0.0084,0
AAPT,D,20180321,0.0001,0.0002,0.0001,0.0002,911800
AASL,D,20180321,1.95,1.95,1.85,1.95,1100
AASP,D,20180321,0.85,0.85,0.85,0.85,0
AAST,D,20180321,0.023,0.023,0.015,0.0199,60100
AATDF,D,20180321,1.005,1.1595,1.005,1.15,386200
AATRL,D,20180321,62.5,62.5,62.5,62.5,0
AAUKF,D,20180321,24.14,24.14,24.14,24.14,0
AAVXF,D,20180321,9.86,9.86,9.86,9.86,0
AAWC,D,20180321,0.0009,0.0009,0.0009,0.0009,42700
ABAKF,D,20180321,3.51,3.51,3.51,3.51,5200
ABBB,D,20180321,11.7,11.7,11.7,11.7,0
ABBRF,D,20180321,0.159,0.159,0.1563,0.1563,14900
ABBY,D,20180321,0.0032,0.0048,0.0032,0.0045,30800
ABCAF,D,20180321,0.095,0.095,0.095,0.095,0
ABCCF,D,20180321,1.648,1.7096,1.6,1.61,159700
ABCE,D,20180321,0.0041,0.0042,0.0032,0.0037,277700
ABCFF,D,20180321,0.1961,0.1961,0.172,0.1923,67000
ABCP,D,20180321,0.34,0.34,0.34,0.34,0
ABCZF,D,20180321,17.8207,17.8207,17.8207,17.8207,100
ABCZY,D,20180321,17.5875,18.06,17.5875,17.98,3100
ABEPF,D,20180321,0.4268,0.4268,0.4268,0.4268,0
ABFOF,D,20180321,23,23,23,23,0
ABGOF,D,20180321,0.031,0.031,0.031,0.031,0
ABHD,D,20180321,0.012,0.012,0.012,0.012,0
ABIWF,D,20180321,0.009,0.01,0.009,0.01,85000
ABLT,D,20180321,490,490,490,490,0
ABLZF,D,20180321,23.88,23.9,23.88,23.9,150900
ABMBF,D,20180321,0.0537,0.0537,0.0537,0.0537,0
ABMC,D,20180321,0.122,0.122,0.122,0.122,0
ABMT,D,20180321,0.158,0.158,0.158,0.158,0
ABNAF,D,20180321,0.1107,0.1107,0.1107,0.1107,2000
ABNK,D,20180321,13.75,13.75,13.65,13.65,3100
ABNRY,D,20180321,15.206,15.35,15.12,15.33,8900
ABPR,D,20180321,0.0003,0.0003,0.0003,0.0003,0
ABQQ,D,20180321,5,5,5,5,0
ABRTY,D,20180321,11.75,11.77,11.3,11.3,4100
ABSSF,D,20180321,9.41,9.61,9.41,9.61,300
ABTO,D,20180321,0.6,0.6,0.6,0.6,0
ABVG,D,20180321,0.0002,0.0002,0.0001,0.0001,21567600
ABWN,D,20180321,1.6,1.6,1.45,1.48,220500
ACAN,D,20180321,2.43,2.45,2.35,2.38,17600
ACAR,D,20180321,3.95,3.95,3.95,3.95,0
ACAZF,D,20180321,15.0591,15.0591,15.0591,15.0591,0
ACBCQ,D,20180321,0.07,0.07,0.07,0.07,0
ACBD,D,20180321,1.86,1.86,1.86,1.86,0
ACBFF,D,20180321,7.94,8.1,7.68,7.8193,1306600
ACCA,D,20180321,0.65,0.65,0.65,0.65,1000
ACCR,D,20180321,0.0001,0.0001,0.0001,0.0001,0
ACCYY,D,20180321,11.36,11.36,11.16,11.29,12600
ACDSF,D,20180321,1.95,1.95,1.95,1.95,0
ACDVF,D,20180321,22.25,22.25,21.97,22.16,2400
ACFL,D,20180321,0.22,0.22,0.22,0.22,0
ACFN,D,20180321,0.29,0.2998,0.2705,0.2949,11600
ACGBF,D,20180321,0.5873,0.5873,0.5873,0.5873,0
ACGBY,D,20180321,14.36,14.58,14.36,14.58,5500
ACGI,D,20180321,0.0007,0.0007,0.0007,0.0007,0
ACGX,D,20180321,0.002,0.0024,0.002,0.0023,21936200
ACGYF,D,20180321,14.35,14.35,14.35,14.35,0
ACHFF,D,20180321,0.5087,0.5087,0.5087,0.5087,0
ACKAY,D,20180321,23.04,23.04,23.04,23.04,0
ACKDF,D,20180321,4.544,4.544,4.544,4.544,0
ACKRF,D,20180321,0.035,0.035,0.035,0.035,0
ACLLF,D,20180321,32.5437,32.5437,32.5437,32.5437,0
ACLZ,D,20180321,0.3197,0.3197,0.295,0.3095,4400
ACMB,D,20180321,2.58,2.58,2.58,2.58,0
ACMC,D,20180321,2.57,2.57,2.55,2.55,3500
ACNDF,D,20180321,0.77,0.77,0.77,0.77,0
ACNI,D,20180321,0.002,0.002,0.002,0.002,0
ACNNF,D,20180321,1.315,1.36,1.3,1.3003,296100
ACNV,D,20180321,0.0035,0.0035,0.0035,0.0035,0
ACOL,D,20180321,0.0102,0.011,0.01,0.0102,2174600
ACOPF,D,20180321,10.1,10.1,10.1,10.1,1800
ACPGF,D,20180321,0.4713,0.4713,0.4713,0.4713,0
ACRB,D,20180321,0.0079,0.0079,0.0079,0.0079,0
ACRFF,D,20180321,56.05,56.05,56.05,56.05,0
ACRL,D,20180321,0.0007,0.0008,0.0006,0.0008,11139100
