,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker,ticker
0,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY,AACAY
1,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY,AAGIY
2,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF,AAIGF
3,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF,ABCCF
4,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE
5,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF,ABCFF
6,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF,ABNAF
7,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY,ABNRY
8,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN,ABWN
9,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN,ACAN
